Energy 2 			# in MeV 
Cross_section 0.152600 		# in barn

Multiplicity proton 0.000048
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.0500 	 4.6895e-07	5.6e-08	5.6e-08	5.5e-08	5.3e-08	5.1e-08	4.8e-08	4.5e-08	4.2e-08	3.5e-08	3.1e-08	2.7e-08	2.5e-08	2.4e-08
	 0.1000 	 9.3914e-07	1.1e-07	1.1e-07	1.1e-07	1.1e-07	1.0e-07	9.6e-08	9.0e-08	8.4e-08	7.1e-08	6.1e-08	5.4e-08	5.0e-08	4.8e-08
	 0.1500 	 1.4056e-06	1.7e-07	1.7e-07	1.6e-07	1.6e-07	1.5e-07	1.4e-07	1.3e-07	1.3e-07	1.1e-07	9.2e-08	8.0e-08	7.5e-08	7.2e-08
	 0.2000 	 1.8633e-06	2.2e-07	2.2e-07	2.2e-07	2.1e-07	2.0e-07	1.9e-07	1.8e-07	1.7e-07	1.4e-07	1.2e-07	1.1e-07	9.9e-08	9.5e-08
	 0.2500 	 2.3074e-06	2.8e-07	2.7e-07	2.7e-07	2.6e-07	2.5e-07	2.4e-07	2.2e-07	2.1e-07	1.7e-07	1.5e-07	1.3e-07	1.2e-07	1.2e-07
	 0.3000 	 2.7328e-06	3.3e-07	3.2e-07	3.2e-07	3.1e-07	3.0e-07	2.8e-07	2.6e-07	2.5e-07	2.1e-07	1.8e-07	1.6e-07	1.5e-07	1.4e-07
	 0.3500 	 3.1345e-06	3.8e-07	3.7e-07	3.6e-07	3.5e-07	3.4e-07	3.2e-07	3.0e-07	2.8e-07	2.4e-07	2.0e-07	1.8e-07	1.7e-07	1.6e-07
	 0.4000 	 3.5077e-06	4.2e-07	4.2e-07	4.1e-07	3.9e-07	3.8e-07	3.6e-07	3.4e-07	3.1e-07	2.6e-07	2.3e-07	2.0e-07	1.9e-07	1.8e-07
	 0.4500 	 3.8472e-06	4.6e-07	4.6e-07	4.5e-07	4.3e-07	4.2e-07	3.9e-07	3.7e-07	3.5e-07	2.9e-07	2.5e-07	2.2e-07	2.0e-07	2.0e-07
	 0.5000 	 4.1481e-06	5.0e-07	4.9e-07	4.8e-07	4.7e-07	4.5e-07	4.2e-07	4.0e-07	3.7e-07	3.1e-07	2.7e-07	2.4e-07	2.2e-07	2.1e-07
	 0.5500 	 4.4055e-06	5.3e-07	5.2e-07	5.1e-07	4.9e-07	4.8e-07	4.5e-07	4.2e-07	4.0e-07	3.3e-07	2.9e-07	2.5e-07	2.3e-07	2.2e-07
	 0.6000 	 4.6144e-06	5.6e-07	5.5e-07	5.4e-07	5.2e-07	5.0e-07	4.7e-07	4.4e-07	4.1e-07	3.5e-07	3.0e-07	2.6e-07	2.4e-07	2.4e-07
	 0.6500 	 4.7697e-06	5.7e-07	5.6e-07	5.5e-07	5.4e-07	5.2e-07	4.9e-07	4.6e-07	4.3e-07	3.6e-07	3.1e-07	2.7e-07	2.5e-07	2.4e-07
	 0.7000 	 4.8666e-06	5.9e-07	5.8e-07	5.7e-07	5.5e-07	5.3e-07	5.0e-07	4.7e-07	4.4e-07	3.7e-07	3.2e-07	2.8e-07	2.6e-07	2.5e-07
	 0.7500 	 4.9000e-06	5.9e-07	5.8e-07	5.7e-07	5.5e-07	5.3e-07	5.0e-07	4.7e-07	4.4e-07	3.7e-07	3.2e-07	2.8e-07	2.6e-07	2.5e-07
	 0.8000 	 4.8882e-06	5.9e-07	5.8e-07	5.7e-07	5.5e-07	5.3e-07	5.0e-07	4.7e-07	4.4e-07	3.7e-07	3.2e-07	2.8e-07	2.6e-07	2.5e-07
	 0.8500 	 4.8538e-06	5.8e-07	5.7e-07	5.6e-07	5.4e-07	5.3e-07	5.0e-07	4.7e-07	4.4e-07	3.7e-07	3.2e-07	2.8e-07	2.6e-07	2.5e-07
	 0.9000 	 4.7982e-06	5.8e-07	5.7e-07	5.6e-07	5.4e-07	5.2e-07	4.9e-07	4.6e-07	4.3e-07	3.6e-07	3.1e-07	2.7e-07	2.5e-07	2.4e-07
	 0.9500 	 4.7226e-06	5.7e-07	5.6e-07	5.5e-07	5.3e-07	5.1e-07	4.8e-07	4.5e-07	4.2e-07	3.6e-07	3.1e-07	2.7e-07	2.5e-07	2.4e-07
	 1.0000 	 4.6286e-06	5.6e-07	5.5e-07	5.4e-07	5.2e-07	5.0e-07	4.7e-07	4.4e-07	4.2e-07	3.5e-07	3.0e-07	2.6e-07	2.5e-07	2.4e-07
	 1.0500 	 4.5174e-06	5.4e-07	5.3e-07	5.3e-07	5.1e-07	4.9e-07	4.6e-07	4.3e-07	4.1e-07	3.4e-07	3.0e-07	2.6e-07	2.4e-07	2.3e-07
	 1.1000 	 4.3904e-06	5.3e-07	5.2e-07	5.1e-07	4.9e-07	4.7e-07	4.5e-07	4.2e-07	3.9e-07	3.3e-07	2.9e-07	2.5e-07	2.3e-07	2.2e-07
	 1.1500 	 4.2490e-06	5.1e-07	5.0e-07	4.9e-07	4.8e-07	4.6e-07	4.3e-07	4.1e-07	3.8e-07	3.2e-07	2.8e-07	2.4e-07	2.3e-07	2.2e-07
	 1.2000 	 4.0946e-06	4.9e-07	4.8e-07	4.8e-07	4.6e-07	4.4e-07	4.2e-07	3.9e-07	3.7e-07	3.1e-07	2.7e-07	2.3e-07	2.2e-07	2.1e-07
	 1.2500 	 3.9286e-06	4.7e-07	4.7e-07	4.6e-07	4.4e-07	4.2e-07	4.0e-07	3.8e-07	3.5e-07	3.0e-07	2.6e-07	2.2e-07	2.1e-07	2.0e-07
	 1.3000 	 3.7522e-06	4.5e-07	4.4e-07	4.4e-07	4.2e-07	4.1e-07	3.8e-07	3.6e-07	3.4e-07	2.8e-07	2.5e-07	2.1e-07	2.0e-07	1.9e-07
	 1.3500 	 3.5670e-06	4.3e-07	4.2e-07	4.1e-07	4.0e-07	3.9e-07	3.6e-07	3.4e-07	3.2e-07	2.7e-07	2.3e-07	2.0e-07	1.9e-07	1.8e-07
	 1.4000 	 3.3742e-06	4.1e-07	4.0e-07	3.9e-07	3.8e-07	3.6e-07	3.4e-07	3.2e-07	3.0e-07	2.5e-07	2.2e-07	1.9e-07	1.8e-07	1.7e-07
	 1.4500 	 3.1752e-06	3.8e-07	3.8e-07	3.7e-07	3.6e-07	3.4e-07	3.2e-07	3.0e-07	2.9e-07	2.4e-07	2.1e-07	1.8e-07	1.7e-07	1.6e-07
	 1.5000 	 2.9714e-06	3.6e-07	3.5e-07	3.5e-07	3.3e-07	3.2e-07	3.0e-07	2.9e-07	2.7e-07	2.2e-07	1.9e-07	1.7e-07	1.6e-07	1.5e-07
	 1.5500 	 2.7642e-06	3.3e-07	3.3e-07	3.2e-07	3.1e-07	3.0e-07	2.8e-07	2.7e-07	2.5e-07	2.1e-07	1.8e-07	1.6e-07	1.5e-07	1.4e-07
