Energy 1 			# in MeV 
Multiplicity PromptGamma 0.131163
Differential_cross_section PromptGamma 1 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.000000	1.773957e+08

#################################################################################################################################################

Energy 2 			# in MeV 
Multiplicity PromptGamma 0.131163
Differential_cross_section PromptGamma 54 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	1.312965e-07
	0.500000	3.297453e-07
	0.750000	2.770869e-05
	1.000000	4.806736e-06
	1.250000	7.049734e-02
	1.500000	8.148749e-05
	1.750000	3.364441e-03
	2.000000	1.237992e-05
	2.250000	8.217860e-05
	2.500000	4.498457e-05
	2.750000	7.929036e-04
	3.000000	2.924270e-05
	3.250000	7.750744e-05
	3.500000	3.890769e-05
	3.750000	7.407186e-05
	4.000000	4.875381e-05
	4.250000	5.362839e-05
	4.500000	3.347787e-04
	4.750000	6.261366e-05
	5.000000	3.482470e-04
	5.250000	6.537435e-05
	5.500000	9.253175e-05
	5.750000	1.279363e-04
	6.000000	1.324558e-04
	6.250000	7.589772e-05
	6.500000	2.392373e-04
	6.750000	2.053491e-04
	7.000000	6.605913e-05
	7.250000	2.433348e-04
	7.500000	6.271115e-05
	7.750000	0.000000e+00
	8.000000	4.314831e-05
	8.250000	1.043598e-05
	8.500000	1.871944e-05
	8.750000	0.000000e+00
	9.000000	6.485658e-04
	9.250000	0.000000e+00
	9.500000	0.000000e+00
	9.750000	0.000000e+00
	10.000000	0.000000e+00
	10.250000	0.000000e+00
	10.500000	0.000000e+00
	10.750000	0.000000e+00
	11.000000	0.000000e+00
	11.250000	0.000000e+00
	11.500000	0.000000e+00
	11.750000	1.768799e-03
	12.000000	0.000000e+00
	12.250000	0.000000e+00
	12.500000	0.000000e+00
	12.750000	0.000000e+00
	13.000000	0.000000e+00
	13.250000	0.000000e+00
	13.500000	2.995618e-04

#################################################################################################################################################

Energy 3 			# in MeV 
Multiplicity PromptGamma 0.372174
Differential_cross_section PromptGamma 58 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	3.960145e-07
	0.500000	2.615810e-07
	0.750000	1.349727e-05
	1.000000	2.203533e-05
	1.250000	5.204073e-01
	1.500000	6.304212e-05
	1.750000	2.549967e-03
	2.000000	8.269286e-06
	2.250000	7.819444e-05
	2.500000	3.117549e-05
	2.750000	6.259840e-04
	3.000000	1.899389e-05
	3.250000	5.606490e-05
	3.500000	2.523880e-05
	3.750000	5.253629e-05
	4.000000	3.158624e-05
	4.250000	3.472295e-05
	4.500000	2.416925e-04
	4.750000	4.081362e-05
	5.000000	2.436803e-04
	5.250000	4.656900e-05
	5.500000	7.689829e-05
	5.750000	6.923057e-05
	6.000000	1.174047e-04
	6.250000	4.883920e-05
	6.500000	8.203984e-05
	6.750000	1.040137e-04
	7.000000	1.540002e-04
	7.250000	0.000000e+00
	7.500000	3.044108e-04
	7.750000	6.508986e-06
	8.000000	3.217461e-05
	8.250000	1.852895e-04
	8.500000	0.000000e+00
	8.750000	0.000000e+00
	9.000000	0.000000e+00
	9.250000	0.000000e+00
	9.500000	1.595549e-05
	9.750000	5.213059e-04
	10.000000	0.000000e+00
	10.250000	0.000000e+00
	10.500000	0.000000e+00
	10.750000	0.000000e+00
	11.000000	0.000000e+00
	11.250000	0.000000e+00
	11.500000	0.000000e+00
	11.750000	0.000000e+00
	12.000000	0.000000e+00
	12.250000	0.000000e+00
	12.500000	0.000000e+00
	12.750000	1.308177e-03
	13.000000	0.000000e+00
	13.250000	0.000000e+00
	13.500000	0.000000e+00
	13.750000	0.000000e+00
	14.000000	0.000000e+00
	14.250000	0.000000e+00
	14.500000	1.801630e-04

#################################################################################################################################################

Energy 4 			# in MeV 
Multiplicity PromptGamma 0.548778
Differential_cross_section PromptGamma 62 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	3.442652e-05
	0.500000	2.303387e-06
	0.750000	1.152560e-03
	1.000000	1.895909e-03
	1.250000	1.107409e+00
	1.500000	5.574070e-05
	1.750000	2.498657e-03
	2.000000	2.849244e-05
	2.250000	3.105768e-03
	2.500000	2.568656e-05
	2.750000	1.756342e-02
	3.000000	1.741395e-03
	3.250000	5.052485e-05
	3.500000	1.948896e-05
	3.750000	4.298897e-05
	4.000000	2.440515e-05
	4.250000	5.825608e-05
	4.500000	2.100471e-04
	4.750000	3.156796e-05
	5.000000	2.109868e-04
	5.250000	3.604826e-05
	5.500000	6.198259e-05
	5.750000	5.578087e-05
	6.000000	8.302172e-05
	6.250000	4.414741e-05
	6.500000	8.245219e-05
	6.750000	6.812395e-05
	7.000000	1.139418e-04
	7.250000	2.986873e-05
	7.500000	7.488498e-05
	7.750000	7.235649e-05
	8.000000	1.223232e-04
	8.250000	6.576435e-06
	8.500000	2.245786e-04
	8.750000	6.861547e-06
	9.000000	0.000000e+00
	9.250000	1.571333e-04
	9.500000	0.000000e+00
	9.750000	0.000000e+00
	10.000000	0.000000e+00
	10.250000	0.000000e+00
	10.500000	1.793377e-05
	10.750000	4.842962e-04
	11.000000	0.000000e+00
	11.250000	0.000000e+00
	11.500000	0.000000e+00
	11.750000	0.000000e+00
	12.000000	0.000000e+00
	12.250000	0.000000e+00
	12.500000	0.000000e+00
	12.750000	0.000000e+00
	13.000000	0.000000e+00
	13.250000	0.000000e+00
	13.500000	0.000000e+00
	13.750000	9.797521e-04
	14.000000	0.000000e+00
	14.250000	0.000000e+00
	14.500000	0.000000e+00
	14.750000	0.000000e+00
	15.000000	0.000000e+00
	15.250000	0.000000e+00
	15.500000	1.692924e-04

#################################################################################################################################################

Energy 5 			# in MeV 
Multiplicity PromptGamma 0.773285
Differential_cross_section PromptGamma 66 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	3.709066e-04
	0.500000	2.281292e-05
	0.750000	1.295558e-02
	1.000000	2.085335e-02
	1.250000	1.652583e+00
	1.500000	4.459133e-05
	1.750000	6.020869e-03
	2.000000	2.245093e-04
	2.250000	2.931381e-02
	2.500000	2.253116e-05
	2.750000	1.717006e-01
	3.000000	1.590455e-02
	3.250000	8.775009e-05
	3.500000	1.398252e-05
	3.750000	2.950990e-04
	4.000000	1.651881e-04
	4.250000	9.150434e-04
	4.500000	1.797003e-04
	4.750000	2.292757e-05
	5.000000	1.736563e-04
	5.250000	2.631914e-05
	5.500000	5.143464e-05
	5.750000	4.485748e-05
	6.000000	6.605791e-05
	6.250000	3.259305e-05
	6.500000	7.045810e-05
	6.750000	5.082095e-05
	7.000000	7.058830e-05
	7.250000	3.834211e-05
	7.500000	7.855048e-05
	7.750000	4.077457e-05
	8.000000	8.721299e-05
	8.250000	3.639290e-05
	8.500000	9.716129e-05
	8.750000	0.000000e+00
	9.000000	9.291907e-05
	9.250000	0.000000e+00
	9.500000	1.927477e-04
	9.750000	8.264957e-06
	10.000000	0.000000e+00
	10.250000	1.375414e-04
	10.500000	0.000000e+00
	10.750000	0.000000e+00
	11.000000	0.000000e+00
	11.250000	0.000000e+00
	11.500000	2.313111e-05
	11.750000	4.052426e-04
	12.000000	0.000000e+00
	12.250000	0.000000e+00
	12.500000	0.000000e+00
	12.750000	0.000000e+00
	13.000000	0.000000e+00
	13.250000	0.000000e+00
	13.500000	0.000000e+00
	13.750000	0.000000e+00
	14.000000	0.000000e+00
	14.250000	0.000000e+00
	14.500000	0.000000e+00
	14.750000	7.602257e-04
	15.000000	0.000000e+00
	15.250000	0.000000e+00
	15.500000	0.000000e+00
	15.750000	0.000000e+00
	16.000000	0.000000e+00
	16.250000	0.000000e+00
	16.500000	1.930425e-04

#################################################################################################################################################

Energy 5.803331e+00 			# in MeV 
Multiplicity PromptGamma 1.013092
Differential_cross_section PromptGamma 69 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	2.859593e-03
	0.500000	2.635306e-04
	0.750000	9.117012e-02
	1.000000	1.644984e-01
	1.250000	1.533769e+00
	1.500000	8.756328e-04
	1.750000	5.224303e-02
	2.000000	2.111858e-03
	2.250000	1.668817e-01
	2.500000	3.414754e-04
	2.750000	3.903727e-01
	3.000000	1.063714e-01
	3.250000	4.300872e-03
	3.500000	2.236832e-03
	3.750000	4.902382e-03
	4.000000	7.851524e-03
	4.250000	2.218343e-02
	4.500000	5.537267e-03
	4.750000	5.174807e-04
	5.000000	1.687116e-04
	5.250000	8.996040e-05
	5.500000	4.743008e-05
	5.750000	4.038677e-05
	6.000000	5.828961e-05
	6.250000	2.734094e-05
	6.500000	6.563085e-05
	6.750000	4.450222e-05
	7.000000	6.549300e-05
	7.250000	3.234207e-05
	7.500000	7.332139e-05
	7.750000	3.482728e-05
	8.000000	6.423572e-05
	8.250000	4.452184e-05
	8.500000	3.842884e-05
	8.750000	3.985091e-05
	9.000000	8.803824e-05
	9.250000	0.000000e+00
	9.500000	9.278912e-05
	9.750000	0.000000e+00
	10.000000	9.515560e-05
	10.250000	0.000000e+00
	10.500000	1.921725e-04
	10.750000	1.013061e-05
	11.000000	1.341270e-04
	11.250000	0.000000e+00
	11.500000	0.000000e+00
	11.750000	0.000000e+00
	12.000000	0.000000e+00
	12.250000	0.000000e+00
	12.500000	2.952135e-05
	12.750000	4.020360e-04
	13.000000	0.000000e+00
	13.250000	0.000000e+00
	13.500000	0.000000e+00
	13.750000	0.000000e+00
	14.000000	0.000000e+00
	14.250000	0.000000e+00
	14.500000	0.000000e+00
	14.750000	0.000000e+00
	15.000000	0.000000e+00
	15.250000	0.000000e+00
	15.500000	6.711574e-04
	15.750000	0.000000e+00
	16.000000	0.000000e+00
	16.250000	0.000000e+00
	16.500000	0.000000e+00
	16.750000	0.000000e+00
	17.000000	0.000000e+00
