Energy 5 			# in MeV 
Cross_section 0.045260 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1250 	 3.8058e-03	1.7e-04	1.7e-04	1.7e-04	1.8e-04	2.1e-04	2.2e-04	2.6e-04	2.7e-04	3.3e-04	3.4e-04	3.7e-04	3.8e-04	3.8e-04
	 0.2500 	 7.5118e-03	3.5e-04	3.5e-04	3.5e-04	3.6e-04	4.2e-04	4.4e-04	5.1e-04	5.4e-04	6.5e-04	6.6e-04	7.2e-04	7.3e-04	7.3e-04
	 0.3750 	 1.0901e-02	5.3e-04	5.3e-04	5.3e-04	5.5e-04	6.3e-04	6.5e-04	7.5e-04	7.8e-04	9.4e-04	9.5e-04	1.0e-03	1.0e-03	1.0e-03
	 0.5000 	 1.3757e-02	7.1e-04	7.1e-04	7.2e-04	7.3e-04	8.2e-04	8.5e-04	9.6e-04	1.0e-03	1.2e-03	1.2e-03	1.3e-03	1.3e-03	1.3e-03
	 0.6250 	 1.5862e-02	9.0e-04	9.0e-04	9.1e-04	9.1e-04	1.0e-03	1.0e-03	1.1e-03	1.2e-03	1.3e-03	1.3e-03	1.4e-03	1.4e-03	1.4e-03
	 0.7500 	 1.7000e-02	1.1e-03	1.1e-03	1.1e-03	1.1e-03	1.2e-03	1.2e-03	1.3e-03	1.3e-03	1.4e-03	1.4e-03	1.5e-03	1.5e-03	1.5e-03
	 0.8750 	 1.7555e-02	1.3e-03	1.3e-03	1.3e-03	1.3e-03	1.4e-03	1.4e-03	1.4e-03	1.4e-03	1.4e-03	1.4e-03	1.5e-03	1.5e-03	1.5e-03
	 1.0000 	 1.8057e-02	1.6e-03	1.6e-03	1.6e-03	1.5e-03	1.6e-03	1.5e-03	1.6e-03	1.5e-03	1.4e-03	1.4e-03	1.4e-03	1.4e-03	1.4e-03
	 1.1250 	 1.8503e-02	1.9e-03	1.9e-03	1.8e-03	1.8e-03	1.8e-03	1.7e-03	1.7e-03	1.6e-03	1.4e-03	1.3e-03	1.4e-03	1.3e-03	1.3e-03
	 1.2500 	 1.8894e-02	2.2e-03	2.2e-03	2.1e-03	2.0e-03	2.0e-03	1.9e-03	1.8e-03	1.7e-03	1.4e-03	1.3e-03	1.3e-03	1.2e-03	1.2e-03
	 1.3750 	 1.9227e-02	2.4e-03	2.4e-03	2.4e-03	2.3e-03	2.2e-03	2.1e-03	1.9e-03	1.7e-03	1.4e-03	1.3e-03	1.2e-03	1.1e-03	1.0e-03
	 1.5000 	 1.9502e-02	2.7e-03	2.7e-03	2.6e-03	2.5e-03	2.4e-03	2.2e-03	2.0e-03	1.8e-03	1.4e-03	1.2e-03	1.1e-03	9.5e-04	8.8e-04
	 1.6250 	 1.9719e-02	2.9e-03	2.9e-03	2.9e-03	2.7e-03	2.6e-03	2.3e-03	2.1e-03	1.8e-03	1.4e-03	1.2e-03	9.7e-04	8.1e-04	7.3e-04
	 1.7500 	 1.9874e-02	3.1e-03	3.1e-03	3.0e-03	2.9e-03	2.7e-03	2.4e-03	2.1e-03	1.9e-03	1.4e-03	1.1e-03	8.7e-04	6.9e-04	6.0e-04
	 1.8750 	 1.9968e-02	3.3e-03	3.3e-03	3.2e-03	3.0e-03	2.8e-03	2.5e-03	2.2e-03	1.9e-03	1.4e-03	1.1e-03	7.8e-04	5.9e-04	4.9e-04
	 2.0000 	 2.0000e-02	3.3e-03	3.3e-03	3.2e-03	3.0e-03	2.8e-03	2.5e-03	2.2e-03	1.9e-03	1.4e-03	1.0e-03	7.0e-04	5.1e-04	4.2e-04
	 2.1250 	 1.9606e-02	3.2e-03	3.2e-03	3.1e-03	2.9e-03	2.7e-03	2.5e-03	2.2e-03	1.9e-03	1.4e-03	9.4e-04	6.3e-04	4.5e-04	3.7e-04
	 2.2500 	 1.8519e-02	3.1e-03	3.1e-03	3.0e-03	2.8e-03	2.6e-03	2.3e-03	2.0e-03	1.8e-03	1.3e-03	8.5e-04	5.5e-04	3.9e-04	3.1e-04
	 2.3750 	 1.6875e-02	2.8e-03	2.8e-03	2.7e-03	2.5e-03	2.4e-03	2.1e-03	1.9e-03	1.6e-03	1.2e-03	7.5e-04	4.8e-04	3.3e-04	2.6e-04
