Energy 5 			# in MeV 
Cross_section 0.075570 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1250 	 1.1971e-02	2.1e-03	2.1e-03	2.0e-03	1.8e-03	1.7e-03	1.5e-03	1.3e-03	1.1e-03	8.4e-04	6.2e-04	4.8e-04	3.8e-04	3.6e-04
	 0.2500 	 2.3545e-02	4.1e-03	4.1e-03	3.9e-03	3.6e-03	3.3e-03	2.9e-03	2.6e-03	2.2e-03	1.6e-03	1.2e-03	9.4e-04	7.5e-04	7.1e-04
	 0.3750 	 3.3929e-02	6.0e-03	5.9e-03	5.6e-03	5.2e-03	4.8e-03	4.2e-03	3.7e-03	3.2e-03	2.4e-03	1.8e-03	1.4e-03	1.1e-03	1.0e-03
	 0.5000 	 4.2328e-02	7.4e-03	7.4e-03	7.0e-03	6.5e-03	5.9e-03	5.2e-03	4.7e-03	4.0e-03	3.0e-03	2.2e-03	1.7e-03	1.4e-03	1.3e-03
	 0.6250 	 4.7950e-02	8.4e-03	8.3e-03	8.0e-03	7.4e-03	6.7e-03	5.9e-03	5.3e-03	4.5e-03	3.4e-03	2.5e-03	1.9e-03	1.5e-03	1.4e-03
	 0.7500 	 5.0000e-02	8.8e-03	8.7e-03	8.3e-03	7.7e-03	7.0e-03	6.2e-03	5.5e-03	4.7e-03	3.5e-03	2.6e-03	2.0e-03	1.6e-03	1.5e-03
	 0.8750 	 4.9271e-02	8.7e-03	8.6e-03	8.2e-03	7.6e-03	6.9e-03	6.1e-03	5.4e-03	4.6e-03	3.4e-03	2.6e-03	2.0e-03	1.6e-03	1.5e-03
	 1.0000 	 4.7230e-02	8.3e-03	8.2e-03	7.8e-03	7.3e-03	6.6e-03	5.9e-03	5.2e-03	4.4e-03	3.3e-03	2.5e-03	1.9e-03	1.5e-03	1.4e-03
	 1.1250 	 4.4096e-02	7.8e-03	7.7e-03	7.3e-03	6.8e-03	6.2e-03	5.5e-03	4.9e-03	4.1e-03	3.1e-03	2.3e-03	1.8e-03	1.4e-03	1.3e-03
	 1.2500 	 4.0087e-02	7.1e-03	7.0e-03	6.7e-03	6.2e-03	5.6e-03	5.0e-03	4.4e-03	3.8e-03	2.8e-03	2.1e-03	1.6e-03	1.3e-03	1.2e-03
	 1.3750 	 3.5423e-02	6.2e-03	6.2e-03	5.9e-03	5.5e-03	5.0e-03	4.4e-03	3.9e-03	3.3e-03	2.5e-03	1.8e-03	1.4e-03	1.1e-03	1.1e-03
	 1.5000 	 3.0321e-02	5.3e-03	5.3e-03	5.0e-03	4.7e-03	4.2e-03	3.8e-03	3.3e-03	2.9e-03	2.1e-03	1.6e-03	1.2e-03	9.7e-04	9.1e-04
	 1.6250 	 2.5000e-02	4.4e-03	4.3e-03	4.1e-03	3.9e-03	3.5e-03	3.1e-03	2.7e-03	2.3e-03	1.8e-03	1.3e-03	1.0e-03	8.0e-04	7.5e-04
	 1.7500 	 1.9679e-02	3.5e-03	3.4e-03	3.3e-03	3.0e-03	2.8e-03	2.4e-03	2.2e-03	1.8e-03	1.4e-03	1.0e-03	7.9e-04	6.3e-04	5.9e-04
	 1.8750 	 1.4577e-02	2.6e-03	2.5e-03	2.4e-03	2.2e-03	2.0e-03	1.8e-03	1.6e-03	1.4e-03	1.0e-03	7.6e-04	5.8e-04	4.7e-04	4.4e-04
	 2.0000 	 9.9125e-03	1.7e-03	1.7e-03	1.6e-03	1.5e-03	1.4e-03	1.2e-03	1.1e-03	9.3e-04	6.9e-04	5.2e-04	4.0e-04	3.2e-04	3.0e-04
	 2.1250 	 5.9038e-03	1.0e-03	1.0e-03	9.8e-04	9.1e-04	8.3e-04	7.3e-04	6.5e-04	5.5e-04	4.1e-04	3.1e-04	2.4e-04	1.9e-04	1.8e-04
	 2.2500 	 2.7697e-03	4.9e-04	4.8e-04	4.6e-04	4.3e-04	3.9e-04	3.4e-04	3.0e-04	2.6e-04	1.9e-04	1.4e-04	1.1e-04	8.9e-05	8.3e-05
	 2.3750 	 7.2886e-04	1.3e-04	1.3e-04	1.2e-04	1.1e-04	1.0e-04	9.0e-05	8.0e-05	6.9e-05	5.1e-05	3.8e-05	2.9e-05	2.3e-05	2.2e-05
	 2.5000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 2.6250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 2.7500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 2.8750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.1250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.2500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.3750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.5000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.6250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.7500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 3.8750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.1250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.2500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.3750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.5000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.6250 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.7500 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 4.8750 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 5.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00

Energy_fraction_recoils 0.075000

#################################################################################################################################################

Energy 6 			# in MeV 
Cross_section 0.295300 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1500 	 5.8534e-02	5.7e-03	6.0e-03	6.1e-03	6.1e-03	6.1e-03	6.2e-03	5.9e-03	5.2e-03	4.6e-03	4.0e-03	3.7e-03	3.4e-03	3.1e-03
	 0.3000 	 1.1050e-01	1.1e-02	1.1e-02	1.2e-02	1.2e-02	1.2e-02	1.2e-02	1.1e-02	9.9e-03	8.7e-03	7.6e-03	7.0e-03	6.4e-03	5.8e-03
	 0.4500 	 1.5220e-01	1.5e-02	1.6e-02	1.6e-02	1.6e-02	1.6e-02	1.6e-02	1.5e-02	1.4e-02	1.2e-02	1.0e-02	9.6e-03	8.8e-03	8.0e-03
	 0.6000 	 1.7993e-01	1.8e-02	1.9e-02	1.9e-02	1.9e-02	1.9e-02	1.9e-02	1.8e-02	1.6e-02	1.4e-02	1.2e-02	1.1e-02	1.0e-02	9.5e-03
	 0.7500 	 1.9000e-01	1.9e-02	2.0e-02	2.0e-02	2.0e-02	2.0e-02	2.0e-02	1.9e-02	1.7e-02	1.5e-02	1.3e-02	1.2e-02	1.1e-02	1.0e-02
	 0.9000 	 1.8274e-01	1.9e-02	1.9e-02	1.9e-02	1.9e-02	1.9e-02	1.9e-02	1.8e-02	1.6e-02	1.4e-02	1.2e-02	1.2e-02	1.1e-02	9.6e-03
	 1.0500 	 1.6347e-01	1.7e-02	1.8e-02	1.8e-02	1.8e-02	1.7e-02	1.7e-02	1.6e-02	1.5e-02	1.3e-02	1.1e-02	1.0e-02	9.4e-03	8.5e-03
