Energy 3 			# in MeV 
Cross_section 0.011190 		# in barn

Multiplicity proton 0.983000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.0750 	 1.0476e-08	9.3e-10	9.2e-10	9.2e-10	9.1e-10	9.0e-10	8.8e-10	8.7e-10	8.4e-10	8.2e-10	8.0e-10	7.9e-10	7.9e-10	7.9e-10
	 0.1500 	 4.1336e-08	3.7e-09	3.6e-09	3.6e-09	3.6e-09	3.5e-09	3.5e-09	3.4e-09	3.3e-09	3.2e-09	3.1e-09	3.1e-09	3.1e-09	3.1e-09
	 0.2250 	 9.1730e-08	8.2e-09	8.1e-09	8.1e-09	8.0e-09	7.9e-09	7.7e-09	7.6e-09	7.4e-09	7.2e-09	7.0e-09	6.9e-09	6.9e-09	6.9e-09
	 0.3000 	 1.6081e-07	1.4e-08	1.4e-08	1.4e-08	1.4e-08	1.4e-08	1.3e-08	1.3e-08	1.3e-08	1.3e-08	1.2e-08	1.2e-08	1.2e-08	1.2e-08
	 0.3750 	 2.4772e-07	2.2e-08	2.2e-08	2.2e-08	2.2e-08	2.1e-08	2.1e-08	2.0e-08	2.0e-08	1.9e-08	1.9e-08	1.9e-08	1.9e-08	1.9e-08
	 0.4500 	 3.5161e-07	3.1e-08	3.1e-08	3.1e-08	3.1e-08	3.0e-08	2.9e-08	2.9e-08	2.8e-08	2.8e-08	2.7e-08	2.6e-08	2.6e-08	2.6e-08
	 0.5250 	 4.7164e-07	4.2e-08	4.2e-08	4.2e-08	4.1e-08	4.0e-08	3.9e-08	3.9e-08	3.8e-08	3.7e-08	3.6e-08	3.5e-08	3.5e-08	3.5e-08
	 0.6000 	 6.0694e-07	5.4e-08	5.3e-08	5.3e-08	5.3e-08	5.2e-08	5.1e-08	5.0e-08	4.9e-08	4.7e-08	4.6e-08	4.6e-08	4.6e-08	4.6e-08
	 0.6750 	 7.5668e-07	6.7e-08	6.7e-08	6.7e-08	6.6e-08	6.5e-08	6.3e-08	6.3e-08	6.1e-08	5.9e-08	5.8e-08	5.7e-08	5.7e-08	5.7e-08
	 0.7500 	 9.2000e-07	8.2e-08	8.1e-08	8.1e-08	8.0e-08	7.9e-08	7.7e-08	7.6e-08	7.4e-08	7.2e-08	7.0e-08	6.9e-08	6.9e-08	6.9e-08
	 0.8250 	 1.1511e-04	1.0e-05	1.0e-05	9.9e-06	9.8e-06	9.6e-06	9.5e-06	9.3e-06	9.2e-06	9.0e-06	8.9e-06	8.9e-06	9.0e-06	9.0e-06
	 0.9000 	 4.3833e-04	3.8e-05	3.8e-05	3.8e-05	3.7e-05	3.7e-05	3.6e-05	3.5e-05	3.5e-05	3.4e-05	3.4e-05	3.4e-05	3.4e-05	3.4e-05
	 0.9750 	 9.4208e-04	8.2e-05	8.2e-05	8.1e-05	8.1e-05	7.9e-05	7.8e-05	7.6e-05	7.5e-05	7.4e-05	7.3e-05	7.3e-05	7.4e-05	7.4e-05
	 1.0500 	 1.5979e-03	1.4e-04	1.4e-04	1.4e-04	1.4e-04	1.3e-04	1.3e-04	1.3e-04	1.3e-04	1.2e-04	1.2e-04	1.2e-04	1.2e-04	1.2e-04
	 1.1250 	 2.3771e-03	2.1e-04	2.1e-04	2.1e-04	2.0e-04	2.0e-04	2.0e-04	1.9e-04	1.9e-04	1.9e-04	1.8e-04	1.8e-04	1.9e-04	1.9e-04
	 1.2000 	 3.2514e-03	2.8e-04	2.8e-04	2.8e-04	2.8e-04	2.7e-04	2.7e-04	2.6e-04	2.6e-04	2.5e-04	2.5e-04	2.5e-04	2.5e-04	2.5e-04
	 1.2750 	 4.1922e-03	3.7e-04	3.7e-04	3.6e-04	3.6e-04	3.5e-04	3.5e-04	3.4e-04	3.4e-04	3.3e-04	3.2e-04	3.2e-04	3.3e-04	3.3e-04
	 1.3500 	 5.1710e-03	4.5e-04	4.5e-04	4.5e-04	4.4e-04	4.3e-04	4.3e-04	4.2e-04	4.1e-04	4.0e-04	4.0e-04	4.0e-04	4.0e-04	4.0e-04
	 1.4250 	 6.1593e-03	5.4e-04	5.4e-04	5.3e-04	5.3e-04	5.2e-04	5.1e-04	5.0e-04	4.9e-04	4.8e-04	4.8e-04	4.8e-04	4.8e-04	4.8e-04
	 1.5000 	 7.1286e-03	6.2e-04	6.2e-04	6.2e-04	6.1e-04	6.0e-04	5.9e-04	5.8e-04	5.7e-04	5.6e-04	5.5e-04	5.5e-04	5.6e-04	5.6e-04
	 1.5750 	 8.0504e-03	7.0e-04	7.0e-04	7.0e-04	6.9e-04	6.7e-04	6.7e-04	6.5e-04	6.4e-04	6.3e-04	6.2e-04	6.2e-04	6.3e-04	6.3e-04
	 1.6500 	 8.8961e-03	7.8e-04	7.8e-04	7.7e-04	7.6e-04	7.4e-04	7.4e-04	7.2e-04	7.1e-04	7.0e-04	6.9e-04	6.9e-04	7.0e-04	7.0e-04
	 1.7250 	 9.6373e-03	8.4e-04	8.4e-04	8.3e-04	8.2e-04	8.1e-04	8.0e-04	7.8e-04	7.7e-04	7.5e-04	7.4e-04	7.4e-04	7.5e-04	7.5e-04
	 1.8000 	 1.0245e-02	8.9e-04	8.9e-04	8.8e-04	8.8e-04	8.6e-04	8.5e-04	8.3e-04	8.2e-04	8.0e-04	7.9e-04	7.9e-04	8.0e-04	8.0e-04
	 1.8750 	 1.0692e-02	9.3e-04	9.3e-04	9.2e-04	9.1e-04	8.9e-04	8.8e-04	8.7e-04	8.6e-04	8.4e-04	8.3e-04	8.3e-04	8.4e-04	8.4e-04
	 1.9500 	 1.0949e-02	9.6e-04	9.6e-04	9.5e-04	9.4e-04	9.2e-04	9.1e-04	8.9e-04	8.8e-04	8.6e-04	8.5e-04	8.5e-04	8.6e-04	8.6e-04
	 2.0250 	 1.0991e-02	9.6e-04	9.6e-04	9.5e-04	9.4e-04	9.2e-04	9.1e-04	8.9e-04	8.8e-04	8.6e-04	8.5e-04	8.5e-04	8.6e-04	8.6e-04
	 2.1000 	 1.0860e-02	9.5e-04	9.5e-04	9.4e-04	9.3e-04	9.1e-04	9.0e-04	8.8e-04	8.7e-04	8.5e-04	8.4e-04	8.4e-04	8.5e-04	8.5e-04
	 2.1750 	 1.0586e-02	9.2e-04	9.2e-04	9.1e-04	9.0e-04	8.9e-04	8.8e-04	8.6e-04	8.5e-04	8.3e-04	8.2e-04	8.2e-04	8.3e-04	8.3e-04
	 2.2500 	 1.0185e-02	8.9e-04	8.9e-04	8.8e-04	8.7e-04	8.5e-04	8.4e-04	8.2e-04	8.1e-04	8.0e-04	7.9e-04	7.9e-04	8.0e-04	8.0e-04
	 2.3250 	 9.6746e-03	8.4e-04	8.4e-04	8.4e-04	8.3e-04	8.1e-04	8.0e-04	7.8e-04	7.7e-04	7.6e-04	7.5e-04	7.5e-04	7.6e-04	7.6e-04
	 2.4000 	 9.0705e-03	7.9e-04	7.9e-04	7.8e-04	7.8e-04	7.6e-04	7.5e-04	7.3e-04	7.3e-04	7.1e-04	7.0e-04	7.0e-04	7.1e-04	7.1e-04
	 2.4750 	 8.3894e-03	7.3e-04	7.3e-04	7.2e-04	7.2e-04	7.0e-04	6.9e-04	6.8e-04	6.7e-04	6.6e-04	6.5e-04	6.5e-04	6.6e-04	6.6e-04
	 2.5500 	 7.6479e-03	6.7e-04	6.7e-04	6.6e-04	6.5e-04	6.4e-04	6.3e-04	6.2e-04	6.1e-04	6.0e-04	5.9e-04	5.9e-04	6.0e-04	6.0e-04
	 2.6250 	 6.8623e-03	6.0e-04	6.0e-04	5.9e-04	5.9e-04	5.7e-04	5.7e-04	5.6e-04	5.5e-04	5.4e-04	5.3e-04	5.3e-04	5.4e-04	5.4e-04
