Energy 2 			# in MeV 
Multiplicity PromptGamma 1.130992
Differential_cross_section PromptGamma 32 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	9.909246e-06
	0.500000	2.121868e-06
	0.750000	9.868158e-04
	1.000000	7.875724e-06
	1.250000	2.744077e-05
	1.500000	5.201250e-05
	1.750000	2.585226e-05
	2.000000	2.480379e-05
	2.250000	1.946220e-05
	2.500000	2.593692e-05
	2.750000	1.025425e-05
	3.000000	1.169557e-05
	3.250000	1.308953e-05
	3.500000	1.442297e-05
	3.750000	1.568820e-05
	4.000000	1.688250e-05
	4.250000	1.800665e-05
	4.500000	1.906489e-05
	4.750000	2.006384e-05
	5.000000	2.101176e-05
	5.250000	2.191849e-05
	5.500000	2.664191e-05
	5.750000	1.948160e-05
	6.000000	2.380542e-05
	6.250000	2.114357e-05
	6.500000	4.310628e-05
	6.750000	3.386023e-06
	7.000000	0.000000e+00
	7.250000	0.000000e+00
	7.500000	0.000000e+00
	7.750000	0.000000e+00
	8.000000	3.148551e-05

#################################################################################################################################################

Energy 3 			# in MeV 
Multiplicity PromptGamma 1.006708
Differential_cross_section PromptGamma 36 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	1.617150e-05
	0.500000	4.972731e-06
	0.750000	4.343059e-02
	1.000000	1.262760e-05
	1.250000	5.673393e-05
	1.500000	8.009571e-05
	1.750000	3.994976e-05
	2.000000	3.817469e-05
	2.250000	2.945032e-05
	2.500000	4.066909e-05
	2.750000	1.503650e-05
	3.000000	1.711787e-05
	3.250000	1.912336e-05
	3.500000	2.103250e-05
	3.750000	2.283424e-05
	4.000000	2.452493e-05
	4.250000	2.610625e-05
	4.500000	2.758477e-05
	4.750000	2.897010e-05
	5.000000	3.027488e-05
	5.250000	3.151343e-05
	5.500000	3.270127e-05
	5.750000	3.385489e-05
	6.000000	3.499136e-05
	6.250000	3.612784e-05
	6.500000	4.373062e-05
