Energy 7 			# in MeV 
Multiplicity PromptGamma 0.015794
Differential_cross_section PromptGamma 29 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	1.069546e-06
	0.500000	5.344871e-06
	0.750000	2.596749e-08
	1.000000	5.822952e-08
	1.250000	1.075192e-07
	1.500000	1.755501e-07
	1.750000	2.632765e-07
	2.000000	3.710135e-07
	2.250000	4.985490e-07
	2.500000	6.452503e-07
	2.750000	8.101503e-07
	3.000000	9.920318e-07
	3.250000	1.189497e-06
	3.500000	1.401038e-06
	3.750000	1.625078e-06
	4.000000	1.860051e-06
	4.250000	2.104388e-06
	4.500000	2.356620e-06
	4.750000	2.615389e-06
	5.000000	2.879421e-06
	5.250000	3.147664e-06
	5.500000	3.419213e-06
	5.750000	3.693410e-06
	6.000000	3.969835e-06
	6.250000	1.309088e-02
	6.500000	4.529092e-06
	6.750000	5.336745e-06
	7.000000	0.000000e+00
	7.250000	1.853995e-05

#################################################################################################################################################

Energy 8 			# in MeV 
Multiplicity PromptGamma 0.193434
Differential_cross_section PromptGamma 33 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	1.100648e-06
	0.500000	5.501525e-06
	0.750000	7.114811e-06
	1.000000	4.228338e-07
	1.250000	6.602218e-08
	1.500000	1.083398e-07
	1.750000	1.632847e-07
	2.000000	2.312248e-07
	2.250000	3.122079e-07
	2.500000	4.060091e-07
	2.750000	5.121888e-07
	3.000000	6.301406e-07
	3.250000	7.591245e-07
	3.500000	8.983198e-07
	3.750000	1.046852e-06
	4.000000	1.203806e-06
	4.250000	1.368289e-06
	4.500000	1.539421e-06
	4.750000	1.716358e-06
	5.000000	1.898349e-06
	5.250000	2.084683e-06
	5.500000	2.274786e-06
	5.750000	2.468155e-06
	6.000000	2.664456e-06
	6.250000	2.109770e-01
	6.500000	3.065140e-06
	6.750000	3.269618e-06
	7.000000	2.684206e-02
	7.250000	3.688560e-06
	7.500000	3.904433e-06
	7.750000	5.496613e-06
	8.000000	0.000000e+00
	8.250000	1.605346e-05

#################################################################################################################################################

Energy 9 			# in MeV 
Multiplicity PromptGamma 0.343164
Differential_cross_section PromptGamma 36 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	6.575819e-07
	0.500000	3.287031e-06
	0.750000	3.375710e-05
	1.000000	2.353667e-05
	1.250000	3.422192e-08
	1.500000	5.628473e-08
	1.750000	8.500344e-08
	2.000000	1.205986e-07
	2.250000	1.631186e-07
	2.500000	2.124707e-07
	2.750000	2.684470e-07
	3.000000	3.307483e-07
	3.250000	3.990078e-07
	3.500000	4.728112e-07
	3.750000	5.517108e-07
	4.000000	6.352468e-07
	4.250000	7.229568e-07
	4.500000	8.143878e-07
	4.750000	9.091086e-07
	5.000000	1.006718e-06
	5.250000	1.106853e-06
	5.500000	1.209208e-06
	5.750000	1.313522e-06
	6.000000	1.419571e-06
	6.250000	3.637705e-01
	6.500000	1.636502e-06
	6.750000	1.747357e-06
	7.000000	1.585376e-01
	7.250000	1.974527e-06
	7.500000	2.091456e-06
	7.750000	2.211218e-06
	8.000000	2.334481e-06
	8.250000	2.462106e-06
	8.500000	3.284510e-06
	8.750000	0.000000e+00
	9.000000	1.190864e-05

#################################################################################################################################################

Energy 10 			# in MeV 
Multiplicity PromptGamma 0.395116
Differential_cross_section PromptGamma 40 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	5.790717e-07
	0.500000	2.894744e-06
	0.750000	5.862373e-05
	1.000000	4.759242e-05
	1.250000	2.417616e-08
	1.500000	3.983507e-08
	1.750000	2.789895e-03
	2.000000	9.300379e-04
	2.250000	1.159961e-07
	2.500000	1.513083e-07
	2.750000	1.685486e-02
	3.000000	2.361853e-07
	3.250000	2.853081e-07
	3.500000	3.385267e-07
	3.750000	3.955407e-07
	4.000000	4.560327e-07
	4.250000	5.196889e-07
	4.500000	5.862021e-07
	4.750000	6.552752e-07
	5.000000	7.266329e-07
	5.250000	8.000267e-07
	5.500000	8.752402e-07
	5.750000	9.520902e-07
	6.000000	1.030433e-06
	6.250000	3.641559e-01
	6.500000	1.191265e-06
	6.750000	1.273698e-06
	7.000000	2.849690e-01
	7.250000	1.442939e-06
	7.500000	1.530066e-06
	7.750000	1.619215e-06
	8.000000	1.710754e-06
	8.250000	1.805159e-06
	8.500000	1.903005e-06
	8.750000	1.596197e-03
	9.000000	2.112126e-06
	9.250000	2.225349e-06
	9.500000	2.892982e-06
	9.750000	0.000000e+00
	10.000000	1.065049e-05

#################################################################################################################################################

Energy 11 			# in MeV 
Multiplicity PromptGamma 0.462144
Differential_cross_section PromptGamma 44 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	6.500987e-07
	0.500000	3.249958e-06
	0.750000	7.596416e-05
	1.000000	6.388300e-05
	1.250000	2.116837e-08
	1.500000	3.491497e-08
	1.750000	1.201686e-02
	2.000000	4.005714e-03
	2.250000	1.019750e-07
	2.500000	1.331534e-07
	2.750000	7.259923e-02
	3.000000	2.082733e-07
	3.250000	2.518596e-07
	3.500000	2.991633e-07
	3.750000	3.499326e-07
	4.000000	4.039111e-07
	4.250000	4.608333e-07
	4.500000	5.204405e-07
	4.750000	5.824862e-07
	5.000000	6.467450e-07
	5.250000	7.130082e-07
	5.500000	7.810940e-07
	5.750000	8.508541e-07
	6.000000	9.221656e-07
	6.250000	3.670106e-01
	6.500000	1.069171e-06
	6.750000	1.144804e-06
	7.000000	3.724370e-01
	7.250000	1.300597e-06
	7.500000	1.380984e-06
	7.750000	1.463292e-06
	8.000000	1.547769e-06
	8.250000	1.634773e-06
	8.500000	1.724722e-06
	8.750000	6.868566e-03
	9.000000	1.915551e-06
	9.250000	2.017774e-06
	9.500000	2.125648e-06
	9.750000	2.240185e-06
	10.000000	2.362615e-06
	10.250000	2.494314e-06
	10.500000	3.248413e-06
	10.750000	0.000000e+00
	11.000000	1.060815e-05

#################################################################################################################################################

Energy 12 			# in MeV 
Multiplicity PromptGamma 0.496115
Differential_cross_section PromptGamma 48 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	7.804648e-07
	0.500000	3.901883e-06
	0.750000	8.224247e-05
	1.000000	5.393608e-05
	1.250000	1.758838e-08
	1.500000	2.906570e-08
	1.750000	2.458034e-02
	2.000000	8.193556e-03
	2.250000	8.535110e-08
	2.500000	1.116403e-07
	2.750000	1.485009e-01
	3.000000	1.752309e-07
	3.250000	2.122698e-07
	3.500000	2.525786e-07
	3.750000	2.959682e-07
	4.000000	3.422306e-07
	4.250000	3.911689e-07
	4.500000	4.425764e-07
	4.750000	4.962655e-07
	5.000000	5.520607e-07
	5.250000	6.098003e-07
	5.500000	6.693468e-07
	5.750000	7.305861e-07
	6.000000	7.934304e-07
	6.250000	3.727014e-01
	6.500000	9.237417e-07
	6.750000	9.911896e-07
	7.000000	3.814886e-01
	7.250000	1.130886e-06
	7.500000	1.203346e-06
	7.750000	1.277751e-06
	8.000000	1.354330e-06
	8.250000	1.433339e-06
	8.500000	1.515120e-06
	8.750000	1.404743e-02
	9.000000	1.688638e-06
	9.250000	1.781403e-06
	9.500000	1.879002e-06
	9.750000	1.982192e-06
	10.000000	2.091871e-06
	10.250000	2.209074e-06
	10.500000	2.335009e-06
	10.750000	2.471106e-06
	11.000000	2.618999e-06
	11.250000	2.780663e-06
	11.500000	3.900625e-06
	11.750000	0.000000e+00
	12.000000	9.912182e-06

#################################################################################################################################################

Energy 13 			# in MeV 
Multiplicity PromptGamma 0.522133
Differential_cross_section PromptGamma 51 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	9.215477e-07
	0.500000	4.607381e-06
	0.750000	8.519547e-05
	1.000000	7.409304e-05
