Energy 1 			# in MeV 
Multiplicity PromptGamma 0.046385
Differential_cross_section PromptGamma 1 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.000000	9.334588e+06

#################################################################################################################################################

Energy 1.307331e+00 			# in MeV 
Multiplicity PromptGamma 0.046385
Differential_cross_section PromptGamma 43 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	7.539256e-09
	0.500000	2.760078e-08
	0.750000	8.483828e-08
	1.000000	1.830595e-07
	1.250000	4.704324e-05
	1.500000	6.319731e-06
	1.750000	3.306405e-02
	2.000000	1.003085e-06
	2.250000	9.921095e-05
	2.500000	5.416996e-06
	2.750000	7.074399e-06
	3.000000	3.382322e-06
	3.250000	1.378884e-05
	3.500000	3.061407e-06
	3.750000	3.434608e-06
	4.000000	5.514539e-06
	4.250000	2.313479e-05
	4.500000	8.362078e-06
	4.750000	2.648016e-06
	5.000000	7.578403e-06
	5.250000	4.461542e-06
	5.500000	9.159705e-06
	5.750000	1.003628e-05
	6.000000	6.443470e-06
	6.250000	1.232909e-05
	6.500000	1.024846e-05
	6.750000	0.000000e+00
	7.000000	3.821819e-06
	7.250000	0.000000e+00
	7.500000	0.000000e+00
	7.750000	0.000000e+00
	8.000000	0.000000e+00
	8.250000	0.000000e+00
	8.500000	3.688313e-05
	8.750000	0.000000e+00
	9.000000	0.000000e+00
	9.250000	0.000000e+00
	9.500000	0.000000e+00
	9.750000	0.000000e+00
	10.000000	0.000000e+00
	10.250000	0.000000e+00
	10.500000	0.000000e+00
	10.750000	4.174313e-05

#################################################################################################################################################

Energy 3 			# in MeV 
Multiplicity PromptGamma 0.155550
Differential_cross_section PromptGamma 47 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	6.387154e-09
	0.500000	2.338908e-08
	0.750000	7.195929e-08
	1.000000	1.551390e-07
	1.250000	5.138259e-03
	1.500000	7.114995e-06
	1.750000	2.407530e-01
	2.000000	8.536873e-07
	2.250000	2.275088e-04
	2.500000	5.129053e-06
	2.750000	7.288196e-06
	3.000000	3.219185e-06
	3.250000	1.396077e-05
	3.500000	2.624343e-06
	3.750000	2.948249e-06
	4.000000	5.196596e-06
	4.250000	2.032402e-05
	4.500000	5.939558e-06
	4.750000	6.804812e-06
	5.000000	7.854236e-06
	5.250000	1.019478e-05
	5.500000	5.702627e-06
	5.750000	2.752703e-06
	6.000000	2.752703e-06
