Energy 2.284358e+00 			# in MeV 
Multiplicity PromptGamma 1.000000
Differential_cross_section PromptGamma 34 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	1.867573e-20
	0.500000	4.412895e-21
	0.750000	4.922313e-22
	1.000000	8.278782e-23
	1.250000	1.121875e-22
	1.500000	1.341379e-22
	1.750000	1.470731e-22
	2.000000	1.513391e-22
	2.250000	1.483712e-22
	2.500000	1.400226e-22
	2.750000	1.281320e-22
	3.000000	1.142894e-22
	3.250000	9.974344e-23
	3.500000	8.539846e-23
	3.750000	7.185885e-23
	4.000000	5.948979e-23
	4.250000	4.847630e-23
	4.500000	3.951367e-23
	4.750000	3.234836e-23
	5.000000	2.647801e-23
	5.250000	2.167615e-23
	5.500000	1.774822e-23
	5.750000	1.453380e-23
	6.000000	1.190147e-23
	6.250000	9.746130e-24
	6.500000	7.985179e-24
	6.750000	6.554510e-24
	7.000000	5.403890e-24
	7.250000	4.492000e-24
	7.500000	3.782960e-24
	7.750000	3.787110e-24
	8.000000	6.080389e-25
	8.250000	6.091870e-25
	8.500000	2.238580e-24

#################################################################################################################################################

Energy 4 			# in MeV 
Multiplicity PromptGamma 2.178348
Differential_cross_section PromptGamma 38 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	4.908062e-05
	0.500000	2.871262e-05
	0.750000	1.680566e-05
	1.000000	1.057811e-05
	1.250000	5.839570e-06
	1.500000	2.767692e-06
	1.750000	6.131775e-07
	2.000000	5.929379e-08
	2.250000	5.958724e-08
	2.500000	5.772087e-08
	2.750000	5.429608e-08
	3.000000	4.986527e-08
	3.250000	4.488842e-08
	3.500000	3.972071e-08
	3.750000	3.461952e-08
	4.000000	2.975924e-08
	4.250000	2.524971e-08
	4.500000	2.115214e-08
	4.750000	1.749343e-08
	5.000000	1.427597e-08
	5.250000	1.148672e-08
	5.500000	9.255739e-09
	5.750000	7.484909e-09
	6.000000	6.044342e-09
	6.250000	4.873194e-09
	6.500000	3.923532e-09
	6.750000	3.157914e-09
	7.000000	2.546358e-09
	7.250000	2.063828e-09
	7.500000	1.688330e-09
	7.750000	1.403866e-09
	8.000000	1.194875e-09
	8.250000	1.038278e-09
	8.500000	9.247867e-10
	8.750000	1.045003e-09
	9.000000	3.536995e-10
	9.250000	2.580727e-10
	9.500000	6.269545e-10

#################################################################################################################################################

Energy 5 			# in MeV 
Multiplicity PromptGamma 2.747917
Differential_cross_section PromptGamma 42 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	3.895468e-03
	0.500000	2.178510e-03
