Energy 5 			# in MeV 
Cross_section 0.445400 		# in barn

Multiplicity proton 0.130600
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1250 	 8.9847e-05	4.1e-06	4.1e-06	4.1e-06	4.5e-06	4.9e-06	4.9e-06	5.8e-06	6.1e-06	7.4e-06	1.3e-05	1.5e-05	2.0e-05	2.0e-05
	 0.2500 	 3.3862e-04	1.6e-05	1.6e-05	1.6e-05	1.7e-05	1.9e-05	1.9e-05	2.2e-05	2.3e-05	2.8e-05	3.9e-05	4.3e-05	5.2e-05	5.2e-05
	 0.3750 	 7.1518e-04	3.3e-05	3.3e-05	3.3e-05	3.6e-05	3.9e-05	3.9e-05	4.6e-05	4.9e-05	5.9e-05	7.4e-05	8.2e-05	9.4e-05	9.4e-05
	 0.5000 	 1.1884e-03	5.5e-05	5.5e-05	5.5e-05	6.1e-05	6.6e-05	6.6e-05	7.7e-05	8.2e-05	9.8e-05	1.2e-04	1.3e-04	1.4e-04	1.4e-04
	 0.6250 	 1.7270e-03	8.2e-05	8.2e-05	8.2e-05	8.9e-05	9.7e-05	9.7e-05	1.1e-04	1.2e-04	1.4e-04	1.7e-04	1.8e-04	2.0e-04	2.0e-04
	 0.7500 	 2.3000e-03	1.1e-04	1.1e-04	1.1e-04	1.2e-04	1.3e-04	1.3e-04	1.5e-04	1.6e-04	1.9e-04	2.2e-04	2.4e-04	2.6e-04	2.6e-04
	 0.8750 	 3.0535e-03	1.5e-04	1.5e-04	1.5e-04	1.6e-04	1.8e-04	1.8e-04	2.0e-04	2.2e-04	2.5e-04	2.9e-04	3.1e-04	3.4e-04	3.4e-04
	 1.0000 	 4.1168e-03	2.1e-04	2.1e-04	2.1e-04	2.3e-04	2.5e-04	2.5e-04	2.7e-04	2.9e-04	3.4e-04	3.8e-04	4.1e-04	4.4e-04	4.4e-04
	 1.1250 	 5.4334e-03	3.0e-04	3.0e-04	3.0e-04	3.1e-04	3.4e-04	3.4e-04	3.6e-04	4.0e-04	4.5e-04	4.9e-04	5.3e-04	5.5e-04	5.5e-04
	 1.2500 	 6.9469e-03	3.9e-04	3.9e-04	3.9e-04	4.0e-04	4.5e-04	4.4e-04	4.6e-04	5.1e-04	5.8e-04	6.1e-04	6.7e-04	6.9e-04	6.9e-04
