--UPenn beam model (double gaussian)--
# baseData fitted to mcSquare simulation using BDL_matrad.txt
# created by Paul Anton Meder on 10-Dec-2019

Nozzle exit to Isocenter distance
420.0

SMX to Isocenter distance
2028.5

SMY to Isocenter distance
2028.5

Beam parameters
88 energies

NominalEnergy	MeanEnergy	EnergySpread	ProtonsMU	Weight1	SpotSize1x	Divergence1x	Correlation1x	SpotSize1y	Divergence1y	Correlation1y	Weight2	SpotSize2x	Divergence2x	Correlation2x	SpotSize2y	Divergence2y	Correlation2y	FWHMatIso	
70 	70.9251 	0.925786 	1e+06 	1 	6.37674 	0.00653162 	0.592361 	6.37674 	0.00653162 	0.592361 	0 	0 	0 	0 	0 	0 	0 	19.5498 	
71.7816 	72.6787 	0.9238 	1e+06 	1 	6.33639 	0.00640287 	0.59298 	6.33639 	0.00640287 	0.59298 	0 	0 	0 	0 	0 	0 	0 	19.3612 	
73.5632 	74.4329 	0.920654 	1e+06 	1 	6.2873 	0.00627225 	0.597463 	6.2873 	0.00627225 	0.597463 	0 	0 	0 	0 	0 	0 	0 	19.17 	
75.3448 	76.1866 	0.918077 	1e+06 	1 	6.24225 	0.00614502 	0.596408 	6.24225 	0.00614502 	0.596408 	0 	0 	0 	0 	0 	0 	0 	18.9638 	
77.1264 	77.9425 	0.913416 	1e+06 	1 	6.19869 	0.00601261 	0.602393 	6.19869 	0.00601261 	0.602393 	0 	0 	0 	0 	0 	0 	0 	18.7899 	
78.908 	79.6975 	0.909815 	1e+06 	1 	6.15306 	0.00588734 	0.599386 	6.15306 	0.00588734 	0.599386 	0 	0 	0 	0 	0 	0 	0 	18.5751 	
80.6897 	81.4559 	0.907704 	1e+06 	1 	6.09421 	0.00576577 	0.6027 	6.09421 	0.00576577 	0.6027 	0 	0 	0 	0 	0 	0 	0 	18.3619 	
82.4713 	83.222 	0.909912 	1e+06 	1 	6.033 	0.00565335 	0.606968 	6.033 	0.00565335 	0.606968 	0 	0 	0 	0 	0 	0 	0 	18.154 	
84.2529 	84.9864 	0.90997 	1e+06 	1 	5.96901 	0.00554269 	0.611215 	5.96901 	0.00554269 	0.611215 	0 	0 	0 	0 	0 	0 	0 	17.9405 	
86.0345 	86.7519 	0.911988 	1e+06 	1 	5.90543 	0.00543102 	0.615274 	5.90543 	0.00543102 	0.615274 	0 	0 	0 	0 	0 	0 	0 	17.7257 	
87.8161 	88.5166 	0.91342 	1e+06 	1 	5.84466 	0.00531962 	0.620556 	5.84466 	0.00531962 	0.620556 	0 	0 	0 	0 	0 	0 	0 	17.522 	
89.5977 	90.2817 	0.913269 	1e+06 	1 	5.78387 	0.00520846 	0.622734 	5.78387 	0.00520846 	0.622734 	0 	0 	0 	0 	0 	0 	0 	17.3051 	
91.3793 	92.0754 	0.911723 	1e+06 	1 	5.72382 	0.00509784 	0.624168 	5.72382 	0.00509784 	0.624168 	0 	0 	0 	0 	0 	0 	0 	17.0871 	
93.1609 	93.8779 	0.910446 	1e+06 	1 	5.68276 	0.00498774 	0.621281 	5.68276 	0.00498774 	0.621281 	0 	0 	0 	0 	0 	0 	0 	16.8961 	
94.9425 	95.6811 	0.908745 	1e+06 	1 	5.63124 	0.00487769 	0.622549 	5.63124 	0.00487769 	0.622549 	0 	0 	0 	0 	0 	0 	0 	16.6975 	
96.7241 	97.484 	0.907175 	1e+06 	1 	5.57767 	0.0047654 	0.621792 	5.57767 	0.0047654 	0.621792 	0 	0 	0 	0 	0 	0 	0 	16.4848 	
98.5057 	99.2848 	0.904397 	1e+06 	1 	5.53159 	0.00465605 	0.618198 	5.53159 	0.00465605 	0.618198 	0 	0 	0 	0 	0 	0 	0 	16.2814 	
100.287 	101.087 	0.904863 	1e+06 	1 	5.47518 	0.00455755 	0.61442 	5.47518 	0.00455755 	0.61442 	0 	0 	0 	0 	0 	0 	0 	16.0625 	
102.069 	102.875 	0.904425 	1e+06 	1 	5.42387 	0.00452755 	0.59513 	5.42387 	0.00452755 	0.59513 	0 	0 	0 	0 	0 	0 	0 	15.8522 	
103.851 	104.665 	0.906322 	1e+06 	1 	5.36493 	0.00450005 	0.570668 	5.36493 	0.00450005 	0.570668 	0 	0 	0 	0 	0 	0 	0 	15.6084 	
105.632 	106.454 	0.907458 	1e+06 	1 	5.31606 	0.00446896 	0.553816 	5.31606 	0.00446896 	0.553816 	0 	0 	0 	0 	0 	0 	0 	15.4132 	
107.414 	108.244 	0.909289 	1e+06 	1 	5.24692 	0.00444244 	0.527017 	5.24692 	0.00444244 	0.527017 	0 	0 	0 	0 	0 	0 	0 	15.14 	
109.195 	110.034 	0.909492 	1e+06 	1 	5.19414 	0.00441342 	0.504798 	5.19414 	0.00441342 	0.504798 	0 	0 	0 	0 	0 	0 	0 	14.9195 	
110.977 	111.814 	0.909742 	1e+06 	1 	5.13591 	0.00438102 	0.494345 	5.13591 	0.00438102 	0.494345 	0 	0 	0 	0 	0 	0 	0 	14.7271 	
112.759 	113.586 	0.907855 	1e+06 	1 	5.07522 	0.00434595 	0.4936 	5.07522 	0.00434595 	0.4936 	0 	0 	0 	0 	0 	0 	0 	14.562 	
114.54 	115.359 	0.90552 	1e+06 	1 	5.01425 	0.00431099 	0.492908 	5.01425 	0.00431099 	0.492908 	0 	0 	0 	0 	0 	0 	0 	14.3966 	
116.322 	117.129 	0.90206 	1e+06 	1 	4.95747 	0.00427547 	0.491678 	4.95747 	0.00427547 	0.491678 	0 	0 	0 	0 	0 	0 	0 	14.2385 	
118.103 	118.903 	0.903191 	1e+06 	1 	4.89841 	0.004239 	0.490621 	4.89841 	0.004239 	0.490621 	0 	0 	0 	0 	0 	0 	0 	14.0753 	
119.885 	120.676 	0.89808 	1e+06 	1 	4.84213 	0.00420294 	0.491512 	4.84213 	0.00420294 	0.491512 	0 	0 	0 	0 	0 	0 	0 	13.9253 	
121.667 	122.427 	0.896045 	1e+06 	1 	4.80417 	0.0041597 	0.484387 	4.80417 	0.0041597 	0.484387 	0 	0 	0 	0 	0 	0 	0 	13.785 	
123.448 	124.175 	0.89175 	1e+06 	1 	4.77395 	0.00411686 	0.478995 	4.77395 	0.00411686 	0.478995 	0 	0 	0 	0 	0 	0 	0 	13.6688 	
125.23 	125.927 	0.890407 	1e+06 	1 	4.73823 	0.00407174 	0.473271 	4.73823 	0.00407174 	0.473271 	0 	0 	0 	0 	0 	0 	0 	13.5377 	
127.011 	127.674 	0.885654 	1e+06 	1 	4.70791 	0.00402734 	0.466558 	4.70791 	0.00402734 	0.466558 	0 	0 	0 	0 	0 	0 	0 	13.4165 	
128.793 	129.423 	0.880593 	1e+06 	1 	4.67341 	0.00398365 	0.461017 	4.67341 	0.00398365 	0.461017 	0 	0 	0 	0 	0 	0 	0 	13.2906 	
130.575 	131.183 	0.87959 	1e+06 	1 	4.63808 	0.00393206 	0.457903 	4.63808 	0.00393206 	0.457903 	0 	0 	0 	0 	0 	0 	0 	13.1656 	
132.356 	132.965 	0.877954 	1e+06 	1 	4.59155 	0.00386778 	0.462111 	4.59155 	0.00386778 	0.462111 	0 	0 	0 	0 	0 	0 	0 	13.0304 	
134.138 	134.749 	0.879539 	1e+06 	1 	4.54493 	0.00380325 	0.466405 	4.54493 	0.00380325 	0.466405 	0 	0 	0 	0 	0 	0 	0 	12.8946 	
135.92 	136.528 	0.877754 	1e+06 	1 	4.50326 	0.00373921 	0.470098 	4.50326 	0.00373921 	0.470098 	0 	0 	0 	0 	0 	0 	0 	12.7681 	
137.701 	138.309 	0.879233 	1e+06 	1 	4.46015 	0.00367421 	0.473907 	4.46015 	0.00367421 	0.473907 	0 	0 	0 	0 	0 	0 	0 	12.6378 	
139.483 	140.091 	0.87778 	1e+06 	1 	4.42043 	0.00360933 	0.477353 	4.42043 	0.00360933 	0.477353 	0 	0 	0 	0 	0 	0 	0 	12.5138 	
141.264 	141.854 	0.876124 	1e+06 	1 	4.37951 	0.00357117 	0.476202 	4.37951 	0.00357117 	0.476202 	0 	0 	0 	0 	0 	0 	0 	12.3914 	
143.046 	143.61 	0.873393 	1e+06 	1 	4.34752 	0.00354367 	0.472087 	4.34752 	0.00354367 	0.472087 	0 	0 	0 	0 	0 	0 	0 	12.2879 	
144.828 	145.367 	0.870292 	1e+06 	1 	4.31638 	0.00351568 	0.467786 	4.31638 	0.00351568 	0.467786 	0 	0 	0 	0 	0 	0 	0 	12.1857 	
146.609 	147.124 	0.86746 	1e+06 	1 	4.28016 	0.0034882 	0.464136 	4.28016 	0.0034882 	0.464136 	0 	0 	0 	0 	0 	0 	0 	12.0743 	
148.391 	148.881 	0.866048 	1e+06 	1 	4.24364 	0.00346048 	0.460473 	4.24364 	0.00346048 	0.460473 	0 	0 	0 	0 	0 	0 	0 	11.9622 	
150.172 	150.64 	0.862493 	1e+06 	1 	4.21401 	0.0034292 	0.456278 	4.21401 	0.0034292 	0.456278 	0 	0 	0 	0 	0 	0 	0 	11.862 	
151.954 	152.441 	0.861943 	1e+06 	1 	4.18843 	0.00336558 	0.45382 	4.18843 	0.00336558 	0.45382 	0 	0 	0 	0 	0 	0 	0 	11.7549 	
153.736 	154.243 	0.859285 	1e+06 	1 	4.16633 	0.00330036 	0.450715 	4.16633 	0.00330036 	0.450715 	0 	0 	0 	0 	0 	0 	0 	11.6532 	
155.517 	156.043 	0.855175 	1e+06 	1 	4.14445 	0.0032358 	0.447715 	4.14445 	0.0032358 	0.447715 	0 	0 	0 	0 	0 	0 	0 	11.5532 	
