Energy 4 			# in MeV 
Multiplicity PromptGamma 1.001918
Differential_cross_section PromptGamma 1 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.000000	4.285504e+09

#################################################################################################################################################

Energy 5 			# in MeV 
Multiplicity PromptGamma 1.001918
Differential_cross_section PromptGamma 24 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	6.552686e-05
	0.500000	3.276301e-04
	0.750000	3.045239e-07
	1.000000	6.396649e-08
	1.250000	1.073727e-07
	1.500000	4.688005e-08
	1.750000	1.816522e-06
	2.000000	2.052147e-07
	2.250000	5.741522e-07
	2.500000	6.832767e-07
	2.750000	1.242030e-06
	3.000000	2.258157e-06
	3.250000	1.732347e-01
	3.500000	0.000000e+00
	3.750000	7.465167e-03
	4.000000	3.278243e-04
	4.250000	1.816522e-06
	4.500000	4.688005e-08
	4.750000	0.000000e+00
	5.000000	0.000000e+00
	5.250000	0.000000e+00
	5.500000	0.000000e+00
	5.750000	0.000000e+00
	6.000000	1.066967e-05

#################################################################################################################################################

Energy 6 			# in MeV 
Multiplicity PromptGamma 1.090018
Differential_cross_section PromptGamma 28 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	1.073793e-02
	0.500000	5.368964e-02
	0.750000	5.721763e-03
	1.000000	5.630022e-08
	1.250000	5.964260e-05
	1.500000	8.585954e-06
	1.750000	2.868757e-06
	2.000000	1.373709e-05
	2.250000	3.420412e-07
	2.500000	1.627238e-06
	2.750000	1.610017e-06
	3.000000	2.501576e-06
	3.250000	4.416674e-01
	3.500000	0.000000e+00
	3.750000	1.655684e-01
	4.000000	5.369215e-02
	4.250000	3.071242e-06
	4.500000	1.660094e-07
	4.750000	0.000000e+00
	5.000000	0.000000e+00
	5.250000	1.612544e-05
	5.500000	0.000000e+00
	5.750000	0.000000e+00
	6.000000	0.000000e+00
	6.250000	0.000000e+00
	6.500000	0.000000e+00
	6.750000	0.000000e+00
	7.000000	8.717907e-06

#################################################################################################################################################

Energy 7 			# in MeV 
Multiplicity PromptGamma 1.191813
Differential_cross_section PromptGamma 32 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	4.462008e-02
	0.500000	2.231004e-01
	0.750000	3.837928e-02
	1.000000	7.032743e-04
	1.250000	1.630721e-02
	1.500000	5.036473e-03
	1.750000	6.892288e-06
	2.000000	7.704036e-03
	2.250000	1.557662e-03
	2.500000	5.706571e-06
	2.750000	1.659203e-06
	3.000000	2.473413e-06
	3.250000	7.988002e-01
	3.500000	5.534772e-07
	3.750000	4.968959e-01
	4.000000	2.231014e-01
	4.250000	2.184480e-06
	4.500000	2.483451e-07
	4.750000	8.140547e-07
	5.000000	2.017907e-06
	5.250000	6.160662e-03
	5.500000	0.000000e+00
	5.750000	1.460079e-03
	6.000000	1.832048e-04
	6.250000	2.691580e-06
	6.500000	0.000000e+00
	6.750000	0.000000e+00
	7.000000	0.000000e+00
	7.250000	0.000000e+00
	7.500000	0.000000e+00
	7.750000	0.000000e+00
	8.000000	6.436569e-06

#################################################################################################################################################

Energy 8 			# in MeV 
Multiplicity PromptGamma 1.365239
Differential_cross_section PromptGamma 36 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	7.156912e-02
	0.500000	3.578229e-01
	0.750000	1.535480e-01
	1.000000	9.415115e-03
	1.250000	1.031335e-01
	1.500000	3.204127e-02
	1.750000	4.458207e-03
	2.000000	6.845761e-02
	2.250000	3.815143e-02
	2.500000	5.362720e-03
	2.750000	1.761388e-06
	3.000000	1.400914e-04
	3.250000	9.532866e-01
	3.500000	5.158486e-06
	3.750000	7.147122e-01
	4.000000	3.578238e-01
	4.250000	1.386383e-06
	4.500000	9.836396e-07
	4.750000	1.281563e-06
	5.000000	5.558641e-07
	5.250000	4.016467e-02
	5.500000	0.000000e+00
	5.750000	2.265424e-02
	6.000000	2.192853e-02
	6.250000	2.714459e-06
	6.500000	0.000000e+00
	6.750000	6.481221e-05
	7.000000	2.446125e-05
	7.250000	2.857106e-06
	7.500000	0.000000e+00
	7.750000	0.000000e+00
	8.000000	0.000000e+00
	8.250000	0.000000e+00
	8.500000	0.000000e+00
	8.750000	0.000000e+00
	9.000000	5.968700e-06

#################################################################################################################################################

Energy 9 			# in MeV 
Multiplicity PromptGamma 1.607987
Differential_cross_section PromptGamma 39 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	8.476823e-02
	0.500000	4.229835e-01
	0.750000	3.528805e-01
	1.000000	3.266319e-02
	1.250000	2.099471e-01
	1.500000	7.235402e-02
	1.750000	3.177398e-02
	2.000000	1.950362e-01
	2.250000	1.561154e-01
	2.500000	4.069072e-02
	2.750000	7.333768e-03
	3.000000	1.250455e-02
	3.250000	9.908284e-01
	3.500000	3.999201e-03
	3.750000	8.404818e-01
	4.000000	4.228183e-01
	4.250000	9.034092e-05
	4.500000	5.510854e-06
	4.750000	2.427227e-06
	5.000000	7.299175e-07
	5.250000	8.283350e-02
	5.500000	1.173532e-06
	5.750000	7.124535e-02
	6.000000	1.021125e-01
	6.250000	1.293254e-06
	6.500000	0.000000e+00
	6.750000	6.917020e-03
	7.000000	4.422638e-03
	7.250000	2.316987e-03
	7.500000	7.558305e-04
	7.750000	4.748925e-05
	8.000000	1.780347e-05
	8.250000	2.953147e-06
	8.500000	0.000000e+00
	8.750000	0.000000e+00
	9.000000	0.000000e+00
	9.250000	0.000000e+00
	9.500000	0.000000e+00
	9.750000	6.343294e-06

#################################################################################################################################################

Energy 10 			# in MeV 
Multiplicity PromptGamma 1.811943
Differential_cross_section PromptGamma 43 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	9.044110e-02
	0.500000	4.478976e-01
