Energy 7 			# in MeV 
Cross_section 0.208300 		# in barn

Multiplicity proton 0.995200
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.00 		 0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.17 		 4.7e-02	5.7e-03	5.7e-03	5.7e-03	5.3e-03	5.0e-03	4.7e-03	4.3e-03	4.0e-03	3.7e-03	3.0e-03	2.6e-03	2.4e-03	2.2e-03
	 0.35 		 9.0e-02	1.1e-02	1.1e-02	1.1e-02	1.0e-02	9.6e-03	9.0e-03	8.3e-03	7.7e-03	7.0e-03	5.8e-03	5.1e-03	4.5e-03	4.2e-03
	 0.52 		 1.2e-01	1.5e-02	1.5e-02	1.5e-02	1.4e-02	1.3e-02	1.2e-02	1.1e-02	1.0e-02	9.6e-03	7.9e-03	6.9e-03	6.2e-03	5.8e-03
	 0.70 		 1.4e-01	1.7e-02	1.7e-02	1.7e-02	1.6e-02	1.5e-02	1.4e-02	1.3e-02	1.2e-02	1.1e-02	8.9e-03	7.8e-03	7.1e-03	6.6e-03
	 0.88 		 1.4e-01	1.7e-02	1.7e-02	1.7e-02	1.6e-02	1.5e-02	1.4e-02	1.3e-02	1.2e-02	1.1e-02	8.9e-03	7.8e-03	7.0e-03	6.5e-03
	 1.05 		 1.3e-01	1.6e-02	1.6e-02	1.6e-02	1.5e-02	1.4e-02	1.3e-02	1.2e-02	1.1e-02	1.0e-02	8.3e-03	7.3e-03	6.5e-03	6.1e-03
	 1.22 		 1.1e-01	1.4e-02	1.4e-02	1.4e-02	1.3e-02	1.2e-02	1.1e-02	1.1e-02	9.8e-03	9.0e-03	7.4e-03	6.5e-03	5.8e-03	5.4e-03
	 1.40 		 9.6e-02	1.2e-02	1.2e-02	1.2e-02	1.1e-02	1.0e-02	9.6e-03	9.0e-03	8.3e-03	7.6e-03	6.2e-03	5.4e-03	4.9e-03	4.5e-03
	 1.57 		 7.6e-02	9.2e-03	9.2e-03	9.2e-03	8.7e-03	8.1e-03	7.6e-03	7.1e-03	6.5e-03	6.0e-03	4.9e-03	4.3e-03	3.9e-03	3.6e-03
	 1.75 		 5.5e-02	6.7e-03	6.7e-03	6.7e-03	6.3e-03	5.9e-03	5.5e-03	5.1e-03	4.7e-03	4.3e-03	3.5e-03	3.1e-03	2.8e-03	2.6e-03
	 1.92 		 3.5e-02	4.3e-03	4.3e-03	4.3e-03	4.0e-03	3.8e-03	3.5e-03	3.3e-03	3.0e-03	2.8e-03	2.3e-03	2.0e-03	1.8e-03	1.7e-03
