Energy 3 			# in MeV 
Cross_section 0.017510 		# in barn

Multiplicity proton 1.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.0750 	 1.7246e-03	1.6e-04	1.6e-04	1.6e-04	1.4e-04	1.4e-04	1.4e-04	1.4e-04	1.4e-04	1.3e-04	1.3e-04	1.2e-04	1.2e-04	1.2e-04
	 0.1500 	 3.4423e-03	3.2e-04	3.2e-04	3.2e-04	2.9e-04	2.9e-04	2.9e-04	2.8e-04	2.8e-04	2.6e-04	2.5e-04	2.5e-04	2.4e-04	2.4e-04
	 0.2250 	 5.1120e-03	4.7e-04	4.7e-04	4.7e-04	4.3e-04	4.3e-04	4.3e-04	4.2e-04	4.1e-04	3.9e-04	3.7e-04	3.7e-04	3.6e-04	3.6e-04
	 0.3000 	 6.6926e-03	6.1e-04	6.1e-04	6.1e-04	5.6e-04	5.6e-04	5.6e-04	5.5e-04	5.4e-04	5.1e-04	4.9e-04	4.8e-04	4.7e-04	4.7e-04
	 0.3750 	 8.1429e-03	7.5e-04	7.5e-04	7.5e-04	6.8e-04	6.8e-04	6.8e-04	6.7e-04	6.5e-04	6.2e-04	6.0e-04	5.8e-04	5.7e-04	5.7e-04
	 0.4500 	 9.4217e-03	8.6e-04	8.6e-04	8.6e-04	7.9e-04	7.9e-04	7.9e-04	7.7e-04	7.5e-04	7.2e-04	6.9e-04	6.8e-04	6.6e-04	6.6e-04
	 0.5250 	 1.0488e-02	9.6e-04	9.6e-04	9.6e-04	8.7e-04	8.7e-04	8.7e-04	8.6e-04	8.4e-04	8.0e-04	7.7e-04	7.5e-04	7.3e-04	7.3e-04
	 0.6000 	 1.1301e-02	1.0e-03	1.0e-03	1.0e-03	9.4e-04	9.4e-04	9.4e-04	9.2e-04	9.0e-04	8.7e-04	8.3e-04	8.1e-04	7.9e-04	7.9e-04
	 0.6750 	 1.1818e-02	1.1e-03	1.1e-03	1.1e-03	9.8e-04	9.8e-04	9.8e-04	9.7e-04	9.5e-04	9.1e-04	8.7e-04	8.5e-04	8.3e-04	8.3e-04
