Energy 4 			# in MeV 
Cross_section 0.000017 		# in barn

Multiplicity proton 0.000000
Differential_cross_section proton 41 	 # Secondary particule & Nbr of rows (Energies) 
# 	 Energy(MeV)	 Int.(b/MeV)	0°	10°	20°	30°	40°	50°	60°	70°	90°	110°	130°	150°	180°	(b/MeV.Sr)
	 0.0000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.1000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.2000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.3000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.4000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.5000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.6000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.7000 	 0.0000e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
	 0.8000 	 5.4682e-17	3.9e-18	3.9e-18	3.9e-18	3.9e-18	3.9e-18	3.9e-18	4.1e-18	4.1e-18	4.2e-18	4.4e-18	4.7e-18	5.0e-18	5.1e-18
	 0.9000 	 4.9312e-16	3.5e-17	3.5e-17	3.5e-17	3.5e-17	3.5e-17	3.5e-17	3.7e-17	3.7e-17	3.8e-17	3.9e-17	4.2e-17	4.5e-17	4.6e-17
	 1.0000 	 1.3725e-15	9.8e-17	9.8e-17	9.8e-17	9.8e-17	9.8e-17	9.8e-17	1.0e-16	1.0e-16	1.1e-16	1.1e-16	1.2e-16	1.3e-16	1.3e-16
	 1.1000 	 2.6956e-15	1.9e-16	1.9e-16	1.9e-16	1.9e-16	1.9e-16	1.9e-16	2.0e-16	2.0e-16	2.1e-16	2.2e-16	2.3e-16	2.5e-16	2.5e-16
	 1.2000 	 4.4648e-15	3.2e-16	3.2e-16	3.2e-16	3.2e-16	3.2e-16	3.2e-16	3.3e-16	3.3e-16	3.4e-16	3.6e-16	3.8e-16	4.1e-16	4.2e-16
	 1.3000 	 6.6829e-15	4.8e-16	4.8e-16	4.8e-16	4.8e-16	4.8e-16	4.8e-16	5.0e-16	5.0e-16	5.2e-16	5.3e-16	5.7e-16	6.1e-16	6.3e-16
	 1.4000 	 9.3526e-15	6.7e-16	6.7e-16	6.7e-16	6.7e-16	6.7e-16	6.7e-16	7.0e-16	7.0e-16	7.2e-16	7.5e-16	8.0e-16	8.5e-16	8.8e-16
	 1.5000 	 1.2476e-14	8.9e-16	8.9e-16	8.9e-16	8.9e-16	8.9e-16	8.9e-16	9.3e-16	9.3e-16	9.6e-16	1.0e-15	1.1e-15	1.1e-15	1.2e-15
	 1.6000 	 1.6057e-14	1.1e-15	1.1e-15	1.1e-15	1.1e-15	1.1e-15	1.1e-15	1.2e-15	1.2e-15	1.2e-15	1.3e-15	1.4e-15	1.5e-15	1.5e-15
	 1.7000 	 2.0097e-14	1.4e-15	1.4e-15	1.4e-15	1.4e-15	1.4e-15	1.4e-15	1.5e-15	1.5e-15	1.6e-15	1.6e-15	1.7e-15	1.8e-15	1.9e-15
