--UPenn beam model (double gaussian)--
# Beam data library for P1

Nozzle exit to Isocenter distance
420.0

SMX to Isocenter distance
2218

SMY to Isocenter distance
1839

Beam parameters
32 energies

NominalEnergy 	 MeanEnergy 	 EnergySpread 	 ProtonsMU 	 Weight1 	 SpotSize1x 	 Divergence1x 	 Correlation1x 	 SpotSize1y 	 Divergence1y 	 Correlation1y 	 Weight2 	 SpotSize2x 	 Divergence2x 	 Correlation2x 	 SpotSize2y 	 Divergence2y 	 Correlation2y
70      70.9284175451      0.75649127798           68857840                  1         6.39725129        0.006733091        0.474953706         6.38615573         0.00644164        0.685441968                  0                 50              0.052             -0.138                 28              0.042               -0.3
75      75.8569953745     0.738068661451           72570680                  1        6.262044912        0.006356949        0.477727604        6.258621613        0.006086283         0.69370903                  0                 50              0.052             -0.138                 28              0.042               -0.3
80      80.7855732039     0.719646044922           76283520                  1        6.126838534        0.005980807        0.480501502        6.131087496        0.005730926        0.701976092                  0                 46               0.05             -0.134                 26               0.04              -0.26
85      85.7403506476     0.715106225586           79724800                  1       5.9331008125        0.005771479       0.5063321575       5.9709634565       0.0053079935        0.699927455                  0                 46               0.05             -0.134                 26               0.04              -0.26
90      90.6951280912      0.71056640625           83166080                  1        5.739363091        0.005562151        0.532162813        5.810839417        0.004885061        0.697878818                  0                 42              0.048              -0.13                 24             0.0385              -0.24
95      95.7566140456     0.700781253125           86894316                  1       5.5895437315       0.0051650225        0.529320988       5.6778992205         0.00465569         0.69480011                  0                 42              0.048              -0.13                 24             0.0385              -0.24
100           100.8181          0.6909961           90622552                  1           5.439724        0.004767894          0.5264792           5.544959        0.004426319          0.6917214                  0           38.94975           0.045088          -0.125083           22.33919           0.036249          -0.222186
105      105.843332856     0.689978346326           93763840                  1       5.2970398515        0.004585612        0.491780114        5.359063073        0.004440523        0.606812877                  0          36.982519            0.04414          -0.137515          21.012691           0.034217          -0.218228
110      110.868565712     0.688960592651           96905128                  1        5.154355331         0.00440333        0.457081065        5.173167122        0.004454727        0.521904352                  0          35.026632           0.043192          -0.151587          19.694115           0.032185          -0.214273
115       115.844314639      0.679111550094           100037332                   1         4.986605685         0.004287714         0.456101647        5.0109341365        0.0043656575        0.5180783405                   0           33.523035              0.0426           -0.193003           19.076456            0.030397            -0.20412
120       120.820063566      0.669262507538           103169536                   1         4.818856039         0.004172098         0.455122229         4.848701151         0.004276588         0.514252329                   0           31.397749            0.044289           -0.195394           18.361173             0.02991           -0.209811
125      125.7302053802     0.6558265684662           105937388                   1        4.7319051185         0.004104896        0.4518401065         4.749778962         0.004093243        0.4854016005                   0           29.864739            0.041281            -0.15388           17.440032            0.026862            -0.15649
130      130.6403471945     0.6423906293945           108705240                   1         4.644954198         0.004037694         0.448557984         4.650856773         0.003909898         0.456550872                   0           28.395821            0.038274           -0.109282            16.58115            0.023815           -0.097645
135      135.6420983662     0.6391854748535           111874084                   1         4.535319563        0.0037942905         0.471207613        4.5153788425        0.0037888375         0.455749545                   0           27.087089            0.042076           -0.208666           15.791805            0.025198           -0.163535
140      140.6438495378     0.6359803203125           115042928                   1         4.425684928         0.003550887         0.493857242         4.379900912         0.003667777         0.454948218                   0           26.059423            0.045877           -0.313754           15.083101             0.02658           -0.235456
145      145.5747960125     0.6274940858001           117640716                   1        4.3325485965         0.003449174         0.488171066         4.284653579        0.0036120585         0.438884383                   0           24.263559             0.04263           -0.296853           14.519874             0.02519           -0.215696
150      150.5057424871     0.6190078512878           120238504                   1         4.239412265         0.003347461          0.48248489         4.189406246          0.00355634         0.422820548                   0             22.4966            0.039382           -0.278384           13.965773            0.023799           -0.194537
155      155.5621557869     0.6097794512787           123026792                   1           4.1676942        0.0031743735         0.477564356          4.12997224         0.003366659         0.411883382                   0             20.8159             0.03787           -0.314509           13.320911            0.023652           -0.218842
160      160.6185690867     0.6005510512695           125815080                   1         4.095976135         0.003001286         0.472643822         4.070538234         0.003176978         0.400946216                   0           19.162852            0.036358           -0.355983           12.690601            0.023506           -0.245978
165      165.5691707216      0.585983420166           128349576                   1        4.0264585525        0.0028715885        0.4819332815         4.001271748         0.002933862         0.424009075                   0           17.529102            0.031529           -0.281662           12.186412            0.021208            -0.19631
170      170.5197723565     0.5714157890625           130884072                   1          3.95694097         0.002741891         0.491222741         3.932005262         0.002690746         0.447071934                   0            16.04088            0.026699           -0.192572           11.715631            0.018911           -0.141841
175       175.562974478     0.5598503847656           133838940                   1         3.890350412        0.0020374615        0.7330703435         3.890871513         0.002141136          0.60855182                   0           15.150856             0.02397            -0.15268            11.33898             0.01771           -0.128027
180      180.6061765996     0.5482849804687           136793808                   1         3.823759854         0.001333032         0.974917946         3.849737764         0.001591526         0.770031706                   0           14.290621            0.021241           -0.107808           10.960669            0.016509           -0.112793
185      185.5130256908     0.5249314628906           139171360                   1         3.775614282         0.001846889         0.743811912         3.790782757         0.001957378           0.6337683                   0           13.833703             0.01972           -0.103672            10.65151            0.014879           -0.080749
190       190.419874782     0.5015779453125           141548912                   1          3.72746871         0.002360746         0.512705878          3.73182775          0.00232323         0.497504894                   0           13.361031            0.018198            -0.09793           10.348118            0.013248           -0.046014
195      195.4463666513     0.4783554726563           144176072                   1        3.6490220375         0.002362204        0.5075348015        3.6591013635         0.002460408         0.480804157                   0           12.920569            0.018366           -0.091326           10.136295            0.013213           -0.048919
200      200.4728585207            0.455133           146803232                   1         3.570575365         0.002363662         0.502363725         3.586374977         0.002597586          0.46410342                   0           12.478472            0.018534           -0.085365            9.925279            0.013177           -0.052148
205      205.4654292603           0.4199965           149220824                   1          3.47962498          0.00233485        0.5244939395          3.48920363        0.0025806615        0.4907182595                   0           11.160975            0.012439            0.362073            9.672448            0.010983            0.079347
210             210.458             0.38486           151638416                   1         3.388674595         0.002306038         0.546624154         3.392032283         0.002563737         0.517333099                   0           11.508698            0.006344            0.788183              9.5733            0.008789            0.213919
215            215.4795            0.335431           153835048                   1         3.298084166        0.0021390735        0.5788883585        3.3027290995        0.0023801915         0.545420895                   0           11.127675            0.008806             0.60211              9.7119            0.009239            0.193964
220             220.501            0.286002           156031680                   1         3.207493737         0.001972109         0.611152563         3.213425916         0.002196646         0.573508691                   0            11.07527            0.011268             0.39164            9.854619            0.009689            0.174312
225      225.4600950365               0.229           158366752                   1         3.133221597         0.002192079         0.569603436         3.172912079         0.001848635         0.737741565                   0           11.631725              0.0096            0.565136           10.688153            0.009301            0.145048
